Key,Layer Type,Segment,Cost Type,Cost Object,Spend type,Market Segment,Internal Staff,External Staff,SW Depreciation,HW Depreciation,SW Maintenance,HW Maintenance,Leased Lines,Other IT Cost,Other OOE,Total
3802,Direct,Derivatives,0,PSP 0071/I9-02203   Eurex R 6.1 PMT,Change,Eurex,-9,0,0,0,0,0,0,0,0,-9
3803,Direct,Derivatives,0,PSP 0071/I9-02203   Eurex R 6.1 PMT,Change,Result,-9,0,0,0,0,0,0,0,0,-9
3804,Direct,Derivatives,0,PSP 0001/F0-02203   Eurex T7 Release 6.1 - Fix,Change,Eurex,-32,0,0,0,0,0,0,0,0,-32
3805,Direct,Derivatives,0,PSP 0001/F0-02203   Eurex T7 Release 6.1 - Fix,Change,Result,-32,0,0,0,0,0,0,0,0,-32
3806,Direct,Derivatives,0,PSP 0066/F0-02203   Eurex T7 Release 6.1 - Fix,Change,Eurex,-21,-28,0,0,0,0,0,0,0,-49
3807,Direct,Derivatives,0,PSP 0066/F0-02203   Eurex T7 Release 6.1 - Fix,Change,Result,-21,-28,0,0,0,0,0,0,0,-49
3808,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0001/P6-02203   Eurex T7 Release 6.1 - StatistiX,Change,Eurex,-42,0,0,0,0,0,0,0,0,-42
3809,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0001/P6-02203   Eurex T7 Release 6.1 - StatistiX,Change,Result,-42,0,0,0,0,0,0,0,0,-42
3810,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,PSP 0066/P6-02203   Eurex T7 Release 6.1 - StatistiX,Change,Eurex,-19,0,0,0,0,0,0,0,0,-19
3811,Shared Layer,SAP & Corporate Systems (incl Statistix),Corporate Systems,PSP 0066/P6-02203   Eurex T7 Release 6.1 - StatistiX,Change,Result,-19,0,0,0,0,0,0,0,0,-19
3812,Direct,Derivatives,0,PSP 0001/E2-02203   Eurex T7 R 6.1 EEX DecayingFutures SIACP,Change,Eurex,-19,0,0,0,0,0,0,0,0,-19
3813,Direct,Derivatives,0,PSP 0001/E2-02203   Eurex T7 R 6.1 EEX DecayingFutures SIACP,Change,Result,-19,0,0,0,0,0,0,0,0,-19
3814,Direct,Derivatives,0,PSP 0071/E2-02203   Eurex T7 R 6.1 EEX DecayingFutures SIACP,Change,Eurex,-15,0,0,0,0,0,0,0,0,-15
3815,Direct,Derivatives,0,PSP 0071/E2-02203   Eurex T7 R 6.1 EEX DecayingFutures SIACP,Change,Result,-15,0,0,0,0,0,0,0,0,-15
