Key,Layer Type,Segment,Cost Type,Cost Object,Spend type,Market Segment,Internal Staff,External Staff,SW Depreciation,HW Depreciation,SW Maintenance,HW Maintenance,Leased Lines,Other IT Cost,Other OOE,Total
3678,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/B1-02200   SAP Cloud Purchasing,Change,IFS,0,3,0,0,0,0,0,0,0,3
3679,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/B1-02200   SAP Cloud Purchasing,Change,Index,0,0,0,0,0,0,0,0,0,0
3680,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/B1-02200   SAP Cloud Purchasing,Change,Result,0,15,0,0,0,0,0,0,0,15
3681,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/C1-02200   SAP Cloud HR,#N/A,Cash,0,0,0,0,0,0,0,0,0,0
3682,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/C1-02200   SAP Cloud HR,#N/A,Clearstream,0,0,0,0,0,0,0,0,0,0
3683,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/C1-02200   SAP Cloud HR,#N/A,Commodities,0,0,0,0,0,0,0,0,0,0
3684,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/C1-02200   SAP Cloud HR,#N/A,Data,0,0,0,0,0,0,0,0,0,0
3685,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/C1-02200   SAP Cloud HR,#N/A,Eurex,0,0,0,0,0,0,0,0,0,0
3686,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/C1-02200   SAP Cloud HR,#N/A,Foreign Exchange,0,0,0,0,0,0,0,0,0,0
3687,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/C1-02200   SAP Cloud HR,#N/A,Index,0,0,0,0,0,0,0,0,0,0
3688,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/C1-02200   SAP Cloud HR,#N/A,Result,0,0,0,0,0,0,0,0,0,0
3689,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/J8-02065   OTC Trade Report: BuildTest IT SAP,Change,Data,3,61,0,0,0,0,0,0,0,64
3690,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 0001/J8-02065   OTC Trade Report: BuildTest IT SAP,Change,Result,3,61,0,0,0,0,0,0,0,64
3691,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/J8-02065   OTC Trade Report: BuildTest IT SAP,Change,Data,0,-20,0,0,0,0,0,0,0,-20
3692,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5140/J8-02065   OTC Trade Report: BuildTest IT SAP,Change,Result,0,-20,0,0,0,0,0,0,0,-20
3693,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0001/P8-02065   Trxn Reporting: BuildTest IT StatistiX,Change,Data,-1,0,0,0,0,0,0,0,0,-1
3694,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0001/P8-02065   Trxn Reporting: BuildTest IT StatistiX,Change,Result,-1,0,0,0,0,0,0,0,0,-1
3695,Direct,GSF,0,PSP 0066/A2-02147   C080-GSF BAU SUPPORT,Run,GSF,-12,0,0,0,0,0,0,0,0,-12
3696,Direct,GSF,0,PSP 0066/A2-02147   C080-GSF BAU SUPPORT,Run,Result,-12,0,0,0,0,0,0,0,0,-12
3697,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0001/S1-02132   GOSA StatisitiX,Run,Eurex,-84,0,0,0,0,0,0,0,0,-84
3698,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0001/S1-02132   GOSA StatisitiX,Run,Result,-84,0,0,0,0,0,0,0,0,-84
3699,Direct,Derivatives,0,PSP 0001/I3-02203   Eurex R 6.1 Implementation,Change,Eurex,0,1,0,0,0,0,0,0,0,1
3700,Direct,Derivatives,0,PSP 0001/I3-02203   Eurex R 6.1 Implementation,Change,Result,0,1,0,0,0,0,0,0,0,1
3701,Direct,Settlement,0,PSP 0066/S6-00916   On-Call Support - Operations M1,Run,Cash,-1,0,0,0,0,0,0,0,0,-1
3702,Direct,Settlement,0,PSP 0066/S6-00916   On-Call Support - Operations M1,Run,Clearstream,-24,0,0,0,0,0,0,0,0,-24
3703,Direct,Settlement,0,PSP 0066/S6-00916   On-Call Support - Operations M1,Run,Commodities,0,0,0,0,0,0,0,0,0,0
3704,Direct,Settlement,0,PSP 0066/S6-00916   On-Call Support - Operations M1,Run,Data,-1,0,0,0,0,0,0,0,0,-1
3705,Direct,Settlement,0,PSP 0066/S6-00916   On-Call Support - Operations M1,Run,Eurex,-2,0,0,0,0,0,0,0,0,-2
3706,Direct,Settlement,0,PSP 0066/S6-00916   On-Call Support - Operations M1,Run,GSF,0,0,0,0,0,0,0,0,0,0
3707,Direct,Settlement,0,PSP 0066/S6-00916   On-Call Support - Operations M1,Run,Result,-28,0,0,0,0,0,0,0,0,-28
3708,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5120/N1-02158   Xetra MiFID - SAP(MIFID Non-Relea. Item),Change,Cash,0,-5,0,0,0,0,0,0,0,-5
3709,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5120/N1-02158   Xetra MiFID - SAP(MIFID Non-Relea. Item),Change,Result,0,-5,0,0,0,0,0,0,0,-5
3710,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,Cash,0,0,0,0,0,0,0,0,0,0
3711,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,Clearstream,0,0,0,0,0,0,0,0,0,0
3712,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,Commodities,0,0,0,0,0,0,0,0,0,0
3713,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,Data,0,0,0,0,0,0,0,0,0,0
3714,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,Eurex,0,0,0,0,0,0,0,0,0,0
3715,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,GSF,0,0,0,0,0,0,0,0,0,0
3716,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,IFS,0,0,0,0,0,0,0,0,0,0
3717,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,Index,0,0,0,0,0,0,0,0,0,0
3718,Shared Layer,SAP & Corporate Systems (incl Statistix),SAP & Corp. Tools,PSP 5280/P9-01533   Called in SAP,Run,Result,0,0,0,0,0,0,0,0,0,0
3719,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0066/S1-02132   GOSA StatisitiX,Run,Eurex,-1,0,0,0,0,0,0,0,0,-1
3720,Shared Layer,SAP & Corporate Systems (incl Statistix),Datawarehouse (Statistix),PSP 0066/S1-02132   GOSA StatisitiX,Run,Result,-1,0,0,0,0,0,0,0,0,-1
3721,Shared Layer,Shared Infr.,Storage,PSP 5120/S2-00795   Storage and Backup,Run,Cash,-2,-1,0,0,0,0,0,0,0,-3
3722,Shared Layer,Shared Infr.,Storage,PSP 5120/S2-00795   Storage and Backup,Run,Clearstream,-200,-81,0,0,0,0,0,-29,0,-310
3723,Shared Layer,Shared Infr.,Storage,PSP 5120/S2-00795   Storage and Backup,Run,Data,-4,-2,0,0,0,0,0,-1,0,-7
3724,Shared Layer,Shared Infr.,Storage,PSP 5120/S2-00795   Storage and Backup,Run,Eurex,-7,-3,0,0,0,0,0,-1,0,-11
3725,Shared Layer,Shared Infr.,Storage,PSP 5120/S2-00795   Storage and Backup,Run,GSF,-35,-14,0,0,0,0,0,-5,0,-54
3726,Shared Layer,Shared Infr.,Storage,PSP 5120/S2-00795   Storage and Backup,Run,IFS,-35,-14,0,0,0,0,0,-5,0,-54
3727,Shared Layer,Shared Infr.,Storage,PSP 5120/S2-00795   Storage and Backup,Run,Result,-283,-115,0,0,0,0,0,-40,0,-439
3728,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,Cash,0,0,0,0,-24,0,0,0,-10,-34
3729,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,Clearstream,0,0,0,0,-77,0,0,0,-32,-109
3730,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,Commodities,0,0,0,0,-29,0,0,0,-12,-41
3731,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,Data,0,0,0,0,-20,0,0,0,-9,-29
3732,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,Eurex,0,0,0,0,-98,0,0,0,-41,-139
3733,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,Foreign Exchange,0,0,0,0,-9,0,0,0,-4,-13
3734,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,GSF,0,0,0,0,-10,0,0,0,-4,-14
3735,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,IFS,0,0,0,0,-18,0,0,0,-8,-26
3736,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,Index,0,0,0,0,-15,0,0,0,-6,-21
3737,Shared Layer,Overhead,Other,PSP 0001/P3-00754   R+D Blockchain Project,Run,Result,0,-1,0,0,-300,0,0,0,-125,-426
3738,Shared Layer,Overhead,Other,PSP 5010/P3-00754   R+D Blockchain Project,Run,Cash,0,-2,0,0,0,0,0,0,0,-2
